date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2019/03/10 00:00:00+00,2019,3,10,port1199,Sikka,India,IND,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,459202
2019/03/11 00:00:00+00,2019,3,11,port1199,Sikka,India,IND,0,0,0,0,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38140.2658507748,0.0,38140.2658507748,459204
2019/03/12 00:00:00+00,2019,3,12,port1199,Sikka,India,IND,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,459206
2019/03/13 00:00:00+00,2019,3,13,port1199,Sikka,India,IND,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,459208
2019/03/14 00:00:00+00,2019,3,14,port1199,Sikka,India,IND,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,459210
2019/03/15 00:00:00+00,2019,3,15,port1199,Sikka,India,IND,0,0,0,0,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46449.6750747545,0.0,46449.6750747545,459212
2019/04/29 00:00:00+00,2019,4,29,port1199,Sikka,India,IND,0,0,0,0,4,0,4,0.0,0.0,0.0,0.0,24243.2591042415,0.0,24243.2591042415,0.0,0.0,0.0,0.0,76029.2323264242,0.0,76029.2323264242,459257
2019/01/19 00:00:00+00,2019,1,19,port1199,Sikka,India,IND,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,459258
2019/04/30 00:00:00+00,2019,4,30,port1199,Sikka,India,IND,0,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8939.90925345912,0.0,8939.90925345912,459264
2019/03/16 00:00:00+00,2019,3,16,port1199,Sikka,India,IND,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,459268
