product,financial_year,calendar_year,month_number,month_name,consumption_metric_tonnes
LPG,2024-25,2024,4,APR,2373
LPG,2024-25,2024,5,MAY,2410
LPG,2024-25,2024,6,JUN,2320
LPG,2024-25,2024,7,JUL,2649
LPG,2024-25,2024,8,AUG,2664
LPG,2024-25,2024,9,SEP,2610
LPG,2024-25,2024,10,OCT,2721
LPG,2024-25,2024,11,NOV,2665
LPG,2024-25,2024,12,DEC,2772
LPG,2024-25,2025,1,JAN,2844
LPG,2024-25,2025,2,FEB,2573
LPG,2024-25,2025,3,MAR,2722
Naphtha,2024-25,2024,4,APR,1217
Naphtha,2024-25,2024,5,MAY,1090
Naphtha,2024-25,2024,6,JUN,1014
Naphtha,2024-25,2024,7,JUL,1224
Naphtha,2024-25,2024,8,AUG,1156
Naphtha,2024-25,2024,9,SEP,1018
Naphtha,2024-25,2024,10,OCT,1164
Naphtha,2024-25,2024,11,NOV,1098
Naphtha,2024-25,2024,12,DEC,1010
Naphtha,2024-25,2025,1,JAN,1140
Naphtha,2024-25,2025,2,FEB,945
Naphtha,2024-25,2025,3,MAR,1078
MS,2024-25,2024,4,APR,3285
MS,2024-25,2024,5,MAY,3463
MS,2024-25,2024,6,JUN,3296
MS,2024-25,2024,7,JUL,3297
MS,2024-25,2024,8,AUG,3360
MS,2024-25,2024,9,SEP,3149
MS,2024-25,2024,10,OCT,3412
MS,2024-25,2024,11,NOV,3428
MS,2024-25,2024,12,DEC,3320
MS,2024-25,2025,1,JAN,3308
MS,2024-25,2025,2,FEB,3174
MS,2024-25,2025,3,MAR,3512
ATF,2024-25,2024,4,APR,742
ATF,2024-25,2024,5,MAY,744
ATF,2024-25,2024,6,JUN,707
ATF,2024-25,2024,7,JUL,727
ATF,2024-25,2024,8,AUG,732
ATF,2024-25,2024,9,SEP,726
ATF,2024-25,2024,10,OCT,757
ATF,2024-25,2024,11,NOV,748
ATF,2024-25,2024,12,DEC,782
ATF,2024-25,2025,1,JAN,784
ATF,2024-25,2025,2,FEB,735
ATF,2024-25,2025,3,MAR,801
SKO,2024-25,2024,4,APR,27
SKO,2024-25,2024,5,MAY,30
SKO,2024-25,2024,6,JUN,36
SKO,2024-25,2024,7,JUL,41
SKO,2024-25,2024,8,AUG,35
SKO,2024-25,2024,9,SEP,36
SKO,2024-25,2024,10,OCT,33
SKO,2024-25,2024,11,NOV,36
SKO,2024-25,2024,12,DEC,35
SKO,2024-25,2025,1,JAN,35
SKO,2024-25,2025,2,FEB,32
SKO,2024-25,2025,3,MAR,33
HSD,2024-25,2024,4,APR,7925
HSD,2024-25,2024,5,MAY,8412
HSD,2024-25,2024,6,JUN,7982
HSD,2024-25,2024,7,JUL,7193
HSD,2024-25,2024,8,AUG,6501
HSD,2024-25,2024,9,SEP,6369
HSD,2024-25,2024,10,OCT,7645
HSD,2024-25,2024,11,NOV,8166
HSD,2024-25,2024,12,DEC,8054
HSD,2024-25,2025,1,JAN,7739
HSD,2024-25,2025,2,FEB,7343
HSD,2024-25,2025,3,MAR,8077
LDO,2024-25,2024,4,APR,51
LDO,2024-25,2024,5,MAY,62
LDO,2024-25,2024,6,JUN,65
LDO,2024-25,2024,7,JUL,61
LDO,2024-25,2024,8,AUG,80
LDO,2024-25,2024,9,SEP,71
LDO,2024-25,2024,10,OCT,69
LDO,2024-25,2024,11,NOV,80
LDO,2024-25,2024,12,DEC,70
LDO,2024-25,2025,1,JAN,76
LDO,2024-25,2025,2,FEB,62
LDO,2024-25,2025,3,MAR,91
Lubricants & Greases,2024-25,2024,4,APR,375
Lubricants & Greases,2024-25,2024,5,MAY,471
Lubricants & Greases,2024-25,2024,6,JUN,436
Lubricants & Greases,2024-25,2024,7,JUL,318
Lubricants & Greases,2024-25,2024,8,AUG,341
Lubricants & Greases,2024-25,2024,9,SEP,382
Lubricants & Greases,2024-25,2024,10,OCT,346
Lubricants & Greases,2024-25,2024,11,NOV,351
Lubricants & Greases,2024-25,2024,12,DEC,362
Lubricants & Greases,2024-25,2025,1,JAN,395
Lubricants & Greases,2024-25,2025,2,FEB,354
Lubricants & Greases,2024-25,2025,3,MAR,458
FO & LSHS,2024-25,2024,4,APR,527
FO & LSHS,2024-25,2024,5,MAY,617
FO & LSHS,2024-25,2024,6,JUN,575
FO & LSHS,2024-25,2024,7,JUL,506
FO & LSHS,2024-25,2024,8,AUG,491
FO & LSHS,2024-25,2024,9,SEP,556
FO & LSHS,2024-25,2024,10,OCT,623
FO & LSHS,2024-25,2024,11,NOV,500
FO & LSHS,2024-25,2024,12,DEC,555
FO & LSHS,2024-25,2025,1,JAN,549
FO & LSHS,2024-25,2025,2,FEB,476
FO & LSHS,2024-25,2025,3,MAR,483
Bitumen,2024-25,2024,4,APR,835
Bitumen,2024-25,2024,5,MAY,940
Bitumen,2024-25,2024,6,JUN,744
Bitumen,2024-25,2024,7,JUL,408
Bitumen,2024-25,2024,8,AUG,286
Bitumen,2024-25,2024,9,SEP,416
Bitumen,2024-25,2024,10,OCT,638
Bitumen,2024-25,2024,11,NOV,708
Bitumen,2024-25,2024,12,DEC,771
Bitumen,2024-25,2025,1,JAN,765
Bitumen,2024-25,2025,2,FEB,833
Bitumen,2024-25,2025,3,MAR,986
Petroleum coke,2024-25,2024,4,APR,1805
Petroleum coke,2024-25,2024,5,MAY,1723
Petroleum coke,2024-25,2024,6,JUN,1532
Petroleum coke,2024-25,2024,7,JUL,2368
Petroleum coke,2024-25,2024,8,AUG,1725
Petroleum coke,2024-25,2024,9,SEP,1213
Petroleum coke,2024-25,2024,10,OCT,2035
Petroleum coke,2024-25,2024,11,NOV,2057
Petroleum coke,2024-25,2024,12,DEC,1954
Petroleum coke,2024-25,2025,1,JAN,1911
Petroleum coke,2024-25,2025,2,FEB,1854
Petroleum coke,2024-25,2025,3,MAR,1887
Others,2024-25,2024,4,APR,1001
Others,2024-25,2024,5,MAY,1119
Others,2024-25,2024,6,JUN,1230
Others,2024-25,2024,7,JUL,1449
Others,2024-25,2024,8,AUG,892
Others,2024-25,2024,9,SEP,865
Others,2024-25,2024,10,OCT,811
Others,2024-25,2024,11,NOV,818
Others,2024-25,2024,12,DEC,969
Others,2024-25,2025,1,JAN,921
Others,2024-25,2025,2,FEB,756
Others,2024-25,2025,3,MAR,783
LPG,1998-99,1998,4,APR,394
LPG,1998-99,1998,5,MAY,393
LPG,1998-99,1998,6,JUN,381
LPG,1998-99,1998,7,JUL,438
LPG,1998-99,1998,8,AUG,415
LPG,1998-99,1998,9,SEP,440
LPG,1998-99,1998,10,OCT,447
LPG,1998-99,1998,11,NOV,464
LPG,1998-99,1998,12,DEC,483
LPG,1998-99,1999,1,JAN,502
LPG,1998-99,1999,2,FEB,489
LPG,1998-99,1999,3,MAR,506
Naphtha,1998-99,1998,4,APR,596
Naphtha,1998-99,1998,5,MAY,709
Naphtha,1998-99,1998,6,JUN,628
Naphtha,1998-99,1998,7,JUL,807
Naphtha,1998-99,1998,8,AUG,751
Naphtha,1998-99,1998,9,SEP,749
Naphtha,1998-99,1998,10,OCT,793
Naphtha,1998-99,1998,11,NOV,793
Naphtha,1998-99,1998,12,DEC,729
Naphtha,1998-99,1999,1,JAN,891
Naphtha,1998-99,1999,2,FEB,980
