company,refinery,state,capacity_thousand_metric_tonnes_per_year
INDIAN OIL CORPORATION LIMITED,"IOC, Digboi",ASSAM,650.0
INDIAN OIL CORPORATION LIMITED,"IOC, Guwahati",ASSAM,1200.0
INDIAN OIL CORPORATION LIMITED,"IOC, Koyali",GUJARAT,13700.0
INDIAN OIL CORPORATION LIMITED,"IOC, Barauni",BIHAR,6000.0
INDIAN OIL CORPORATION LIMITED,"IOC, Haldia",WEST BENGAL,8000.0
INDIAN OIL CORPORATION LIMITED,"IOC, Mathura",UTTAR PRADESH,8000.0
INDIAN OIL CORPORATION LIMITED,"IOC, Panipat",HARYANA,15000.0
INDIAN OIL CORPORATION LIMITED,"IOC, Bongaigaon",ASSAM,2700.0
INDIAN OIL CORPORATION LIMITED,"IOC, Paradip",ODISHA,15000.0
HINDUSTAN PETROLEUM CORPORATION LIMITED,"HPC, Mumbai",MAHARASHTRA,9500.0
HINDUSTAN PETROLEUM CORPORATION LIMITED,"HPC, Visakh",ANDHRA PRADESH,15000.0
BHARAT PETROLEUM CORPORATION LIMITED,"BPC, Mumbai",MAHARASHTRA,12000.0
BHARAT PETROLEUM CORPORATION LIMITED,"BPC, Kochi",KERALA,15500.0
BHARAT PETROLEUM CORPORATION LIMITED,"BPC, Bina",MADHYA PRADESH,7800.0
CHENNAI PETROLEUM CORPORATION LIMITED,"CPCL,Manali",CHENNAI,10500.0
CHENNAI PETROLEUM CORPORATION LIMITED,"CPCL, Cauvery Basin*",CHENNAI,0.0
NUMALIGARH REFINERY LIMITED,"NRL, Numaligarh",ASSAM,3000.0
OIL AND NATURAL GAS CORPORATION,"ONGC, Tatipaka",ANDHRA PRADESH,66.0
MANGALORE REFINERY AND PETROCHEMICALS LIMITED,"MRPL, Mangalore",KARNATAKA,15000.0
HPCL–MITTAL ENERGY LIMITED,"HMEL, GGSR",PUNJAB,11300.0
HPCL Rajasthan Refinery Limited,"HRRL, Pachpadra",RAJASTHAN,9000.0
RELIANCE INDUSTRIES LIMITED,"RIL, Jamnagar",GUJARAT,33000.0
RELIANCE INDUSTRIES LIMITED,"RPL (SEZ), Jamnagar",GUJARAT,35200.0
NAYARA ENERGY LIMITED,"NEL, Vadinar",GUJARAT,20000.0
