world_port_index_number,port_name,alternate_port_name,un_locode,country,water_body,latitude,longitude,harbor_size,harbor_type,harbor_use,max_vessel_length_m,max_vessel_beam_m,max_vessel_draft_m,liquid_bulk_facility,oil_terminal_facility,wharf_facility,anchorage_facility
49460.0,Machilipatnam, , ,India,Bay of Bengal; Indian Ocean,16.15,81.166667,Very Small,Open Roadstead,Unknown,0.0,0.0,0.0,Unknown,Unknown,Unknown,Yes
48620.0,Mandvi, ,IN MDV,India,Arabian Sea; Indian Ocean,22.833333,69.35,Very Small,Open Roadstead,Unknown,0.0,0.0,0.0,Unknown,Unknown,Yes,Yes
48790.0,Hazira, ,IN HZA,India,Arabian Sea; Indian Ocean,21.083333,72.633333,Small,Coastal (Breakwater),Unknown,0.0,0.0,0.0,Unknown,Unknown,Unknown,Yes
48650.0,Bedi,Bed,IN BED,India,Arabian Sea; Indian Ocean,22.57305556,70.04555556,Very Small,River (Natural),Cargo,0.0,0.0,0.0,Unknown,Unknown,Unknown,Yes
48617.0,Mundra, ,IN MUN,India,Arabian Sea; Indian Ocean,22.72833333,69.70666667,Small,Open Roadstead,Cargo,397.0,51.2,17.3,Yes,Yes,Yes,Unknown
48670.0,Okha, ,IN OKH,India,Arabian Sea; Indian Ocean,22.46805556,69.07972222,Very Small,Coastal (Natural),Cargo,181.0,35.0,8.0,Unknown,Unknown,Yes,Yes
48690.0,Veraval, ,IN VVA,India,Arabian Sea; Indian Ocean,20.9,70.366667,Very Small,Open Roadstead,Unknown,0.0,0.0,0.0,Unknown,Unknown,Unknown,Yes
48615.0,Vadinar Terminal, ,IN VAD,India,Arabian Sea; Indian Ocean,22.46666667,69.66666667,Very Small,Open Roadstead,Cargo,362.5,60.0,23.0,Yes,Yes,Unknown,Yes
48613.0,Sikka, ,IN SKK,India,Arabian Sea; Indian Ocean,22.433333,69.833333,Very Small,Open Roadstead,Cargo,250.0,45.0,14.5,Unknown,Unknown,Yes,Yes
48630.0,Kandla,Kundla,IN IXY,India,Arabian Sea; Indian Ocean,23.033333,70.216667,Small,River (Natural),Cargo,275.0,43.0,12.5,Unknown,Unknown,Yes,Unknown
48680.0,Porbandar, ,IN PBD,India,Arabian Sea; Indian Ocean,21.633333,69.6,Very Small,Coastal (Breakwater),Unknown,225.0,0.0,9.8,Unknown,Unknown,Yes,Unknown
48635.0,Navlakhi, ,IN NAV,India,Arabian Sea; Indian Ocean,22.95638889,70.44758333,Very Small,Open Roadstead,Unknown,93.0,18.0,3.4,Unknown,Unknown,No,Yes
