country_id,canonical_name,source_dataset,mapping_status
country-e83f024f9a1156e097a7,Albania,global_oil_country.csv,CANONICAL
country-d854169a7fa8233ea9a1,Algeria,global_oil_country.csv,CANONICAL
country-e0c67046a3c83fbdf1a3,American Samoa,global_oil_country.csv,CANONICAL
country-5feeb60f78d8d2224674,Angola,global_oil_country.csv,CANONICAL
country-cf0acc38c3ef258d5b9c,Antigua and Barbuda,global_oil_country.csv,CANONICAL
country-3a73954246460ddeee5c,Argentina,global_oil_country.csv,CANONICAL
country-1d5a04fbeace6278ac78,Armenia,global_oil_country.csv,CANONICAL
country-2fcc9256ec1186625790,Aruba,global_oil_country.csv,CANONICAL
country-c585f1decb986f7ff19b,Australia,global_oil_country.csv,CANONICAL
country-7112733729f24775a6e8,Austria,global_oil_country.csv,CANONICAL
country-0c341736c12dd6a90849,Azerbaijan,global_oil_country.csv,CANONICAL
country-f1ebd231a348712a3576,Bahamas,global_oil_country.csv,CANONICAL
country-a23061616678f32f71b5,Bahrain,global_oil_country.csv,CANONICAL
country-8e07df26128d8a78474d,Bangladesh,global_oil_country.csv,CANONICAL
country-f5885b5927323e158a49,Barbados,global_oil_country.csv,CANONICAL
country-0b778819fc2789a0fe60,Belarus,global_oil_country.csv,CANONICAL
country-90d693d30a3fa06791eb,Belgium,global_oil_country.csv,CANONICAL
country-01aa028bb4212190c27b,Belize,global_oil_country.csv,CANONICAL
country-c94b56e02b7e9b04e57f,Benin,global_oil_country.csv,CANONICAL
country-2fb2f533e014433cb7a2,Bermuda,global_oil_country.csv,CANONICAL
country-65a4745d1eaaa35c0ad9,Bhutan,global_oil_country.csv,CANONICAL
country-d27c899eb5eb67ca26e2,Bolivia,global_oil_country.csv,CANONICAL
country-3af1b873990dc3a90811,Bosnia and Herzegovina,global_oil_country.csv,CANONICAL
country-4cdb4fcebbed72a3f473,Botswana,global_oil_country.csv,CANONICAL
country-5c8f52ca28966103ff0a,Brazil,global_oil_country.csv,CANONICAL
country-df3a1b2f37ca9012ce63,British Virgin Islands,global_oil_country.csv,CANONICAL
country-0cd165045b47476a308e,Brunei,global_oil_country.csv,CANONICAL
country-9e44a91f69c553dd6929,Bulgaria,global_oil_country.csv,CANONICAL
country-0f9ea5841e716cb4aa7a,Burkina Faso,global_oil_country.csv,CANONICAL
country-9e9f4c6d624a3c810435,Burma,global_oil_country.csv,CANONICAL
country-ed13ad9a5761b2341649,Burundi,global_oil_country.csv,CANONICAL
country-1dee6c1f0f6e420013cd,Cabo Verde,global_oil_country.csv,CANONICAL
country-eae33aebc5874253ff0b,Cambodia,global_oil_country.csv,CANONICAL
country-1366ad3415239832b32d,Cameroon,global_oil_country.csv,CANONICAL
country-408c7c5887a0f3905767,Canada,global_oil_country.csv,CANONICAL
country-fd26a087ca744eed8cc4,Cayman Islands,global_oil_country.csv,CANONICAL
country-8b7874e4df7887941aaf,Central African Republic,global_oil_country.csv,CANONICAL
country-2dec26043f679fdd6bb0,Chad,global_oil_country.csv,CANONICAL
country-c42f580108029f094432,Chile,global_oil_country.csv,CANONICAL
country-50c0152c2952082aeaf4,China,global_oil_country.csv,CANONICAL
country-c91bd9c288c0a7c5ca1b,Colombia,global_oil_country.csv,CANONICAL
country-cf8bdfdd7f896c1ec7ea,Comoros,global_oil_country.csv,CANONICAL
country-5ad67bb94d1520c313fa,Cook Islands,global_oil_country.csv,CANONICAL
country-ee54b1b1e9bc25ac1a66,Costa Rica,global_oil_country.csv,CANONICAL
country-f17f6b658c4b6feb5425,Croatia,global_oil_country.csv,CANONICAL
country-950662956e7592a1d712,Cuba,global_oil_country.csv,CANONICAL
country-3210180db79b0e85cbf7,Curaçao,global_oil_country.csv,CANONICAL
country-8930d399db295e02aa59,Cyprus,global_oil_country.csv,CANONICAL
country-141a3d757ed4518bf869,Czech Republic,global_oil_country.csv,CANONICAL
country-a9e09665ee384ef81af3,Côte d'Ivoire,global_oil_country.csv,CANONICAL
