country_id,canonical_name,source_name,source_normalized_name,source_dataset,country_code,mapping_status,mapping_method,review_reason
country-7942e84ee77ffefd180f,Venezuela,Venezuela,Venezuela,global_oil_country.csv,,MAPPED,source_name_exact,
country-6c1925d6560c7c47d21c,Saudi Arabia,Saudi Arabia,Saudi Arabia,global_oil_country.csv,,MAPPED,source_name_exact,
country-408c7c5887a0f3905767,Canada,Canada,Canada,global_oil_country.csv,,MAPPED,source_name_exact,
country-d4328f17fc46dfde5a0a,Iran,Iran,Iran,global_oil_country.csv,,MAPPED,source_name_exact,
country-818d76d6586437a090e7,Iraq,Iraq,Iraq,global_oil_country.csv,,MAPPED,source_name_exact,
country-9ac506560edb9211e1b5,Kuwait,Kuwait,Kuwait,global_oil_country.csv,,MAPPED,source_name_exact,
country-ccce216a59d326e4558d,United Arab Emirates,United Arab Emirates,United Arab Emirates,global_oil_country.csv,,MAPPED,source_name_exact,
country-90a6d53df47e4097ad65,Russia,Russia,Russia,global_oil_country.csv,,MAPPED,source_name_exact,
country-f6b323fdd9f99c634640,Libya,Libya,Libya,global_oil_country.csv,,MAPPED,source_name_exact,
country-3383e4237141bb9feeb2,Nigeria,Nigeria,Nigeria,global_oil_country.csv,,MAPPED,source_name_exact,
country-4451df5780fe1b2c96c5,Kazakhstan,Kazakhstan,Kazakhstan,global_oil_country.csv,,MAPPED,source_name_exact,
country-3fc81a2348ee6614856d,Qatar,Qatar,Qatar,global_oil_country.csv,,MAPPED,source_name_exact,
country-981e5b396726008318fc,United States,United States,United States,global_oil_country.csv,,MAPPED,source_name_exact,
country-50c0152c2952082aeaf4,China,China,China,global_oil_country.csv,,MAPPED,source_name_exact,
country-5c8f52ca28966103ff0a,Brazil,Brazil,Brazil,global_oil_country.csv,,MAPPED,source_name_exact,
country-d854169a7fa8233ea9a1,Algeria,Algeria,Algeria,global_oil_country.csv,,MAPPED,source_name_exact,
country-5feeb60f78d8d2224674,Angola,Angola,Angola,global_oil_country.csv,,MAPPED,source_name_exact,
country-8be2978e343799a3747a,Mexico,Mexico,Mexico,global_oil_country.csv,,MAPPED,source_name_exact,
country-f4cb75e90ad07f8c1d38,Ecuador,Ecuador,Ecuador,global_oil_country.csv,,MAPPED,source_name_exact,
country-0c341736c12dd6a90849,Azerbaijan,Azerbaijan,Azerbaijan,global_oil_country.csv,,MAPPED,source_name_exact,
country-e883a76a30b245c29f32,Oman,Oman,Oman,global_oil_country.csv,,MAPPED,source_name_exact,
country-fb54e9062429a9378555,India,India,India,global_oil_country.csv,,MAPPED,source_name_exact,
country-1d43cfed6bbe6dd99196,Norway,Norway,Norway,global_oil_country.csv,,MAPPED,source_name_exact,
country-b116c99a2c11258bdc6b,Egypt,Egypt,Egypt,global_oil_country.csv,,MAPPED,source_name_exact,
country-4558505e43ad952755f6,Vietnam,Vietnam,Vietnam,global_oil_country.csv,,MAPPED,source_name_exact,
country-341cf9022a3e6469098e,Indonesia,Indonesia,Indonesia,global_oil_country.csv,,MAPPED,source_name_exact,
country-6a9a10210588981dd8fa,Malaysia,Malaysia,Malaysia,global_oil_country.csv,,MAPPED,source_name_exact,
country-ddea6abd2ee5d012fb6a,South Sudan,South Sudan,South Sudan,global_oil_country.csv,,MAPPED,source_name_exact,
country-0e98cc0b1589b955ff17,United Kingdom,United Kingdom,United Kingdom,global_oil_country.csv,,MAPPED,source_name_exact,
country-cc3d6b2176eba4a5795a,Yemen,Yemen,Yemen,global_oil_country.csv,,MAPPED,source_name_exact,
country-3a73954246460ddeee5c,Argentina,Argentina,Argentina,global_oil_country.csv,,MAPPED,source_name_exact,
country-38e64378dcc97326eee8,Syria,Syria,Syria,global_oil_country.csv,,MAPPED,source_name_exact,
country-431debec82077bf2d678,Uganda,Uganda,Uganda,global_oil_country.csv,,MAPPED,source_name_exact,
country-c91bd9c288c0a7c5ca1b,Colombia,Colombia,Colombia,global_oil_country.csv,,MAPPED,source_name_exact,
