financial_period_id,financial_year,financial_year_start,source_financial_year_labels,source_datasets
period-deb01c177b45501f404d,1998-99,1998,1998-99,india_petroleum_consumption.csv
period-301bcccd3bce92eef112,1999-00,1999,1999-00,india_petroleum_consumption.csv
period-c51cdc82fee3becc6f1e,2000-01,2000,2000-01,india_petroleum_consumption.csv
period-0dbb66da9cd4ac9a72e3,2001-02,2001,2001-02,india_petroleum_consumption.csv
period-828444e8b8e8ac8a217d,2002-03,2002,2002-03,india_petroleum_consumption.csv
period-bd96d521e3f619335d27,2003-04,2003,2003-04,india_petroleum_consumption.csv
period-3f649bce78e6130dc715,2004-05,2004,2004-05,india_petroleum_consumption.csv
period-c91e348c28dafe949f5e,2005-06,2005,2005-06,india_petroleum_consumption.csv
period-6e3ef871701b6554bec1,2006-07,2006,2006-07,india_petroleum_consumption.csv
period-9d729e9b8e988f143527,2007-08,2007,2007-08,india_petroleum_consumption.csv
period-5eabf7023edab520398f,2008-09,2008,2008-09,india_petroleum_consumption.csv
period-3fd55e3eb97f1690781d,2009-10,2009,2009-10,india_petroleum_consumption.csv
period-7d80459e4d4ae55f218d,2010-11,2010,2010-11,india_petroleum_consumption.csv
period-836e02574089d6656775,2011-12,2011,2011-12,india_petroleum_consumption.csv
period-8ea2ab01546d14e27a8b,2012-13,2012,2012-13,india_petroleum_consumption.csv
period-aa6c070cef371b7b3d30,2013-14,2013,2013-14,india_petroleum_consumption.csv
period-6889f29248c92ce1449e,2014-15,2014,2014-15;2014-2015,india_petroleum_consumption.csv;supplier_crude_imports_2014_2017.csv
period-0c97e1c1e9f9cc188295,2015-16,2015,2015-16;2015-2016,india_petroleum_consumption.csv;supplier_crude_imports_2014_2017.csv
period-8530e8148e1e9af647be,2016-17,2016,2016-17;2016-2017,india_petroleum_consumption.csv;supplier_crude_imports_2014_2017.csv
period-786c24255604984da930,2017-18,2017,2017-18,india_petroleum_consumption.csv
period-279762f1ba656d383dec,2018-19,2018,2018-19,india_petroleum_consumption.csv
period-b5ba4945f966bd222f61,2019-20,2019,2019-20,india_petroleum_consumption.csv
period-1ec8ed0a94eaf7223c39,2020-21,2020,2020-21,india_petroleum_consumption.csv
period-98fc83daa76f68430ba2,2021-22,2021,2021-22,india_petroleum_consumption.csv
period-819e8237eaf229cbb79d,2022-23,2022,2022-23,india_petroleum_consumption.csv
period-cb6f850791b3b4fa0310,2023-24,2023,2023-24,india_crude_import_totals_2023_2026.csv;india_petroleum_consumption.csv
period-fea15f4127ef7e778b5f,2024-25,2024,2024-25,india_crude_import_totals_2023_2026.csv;india_petroleum_consumption.csv
period-fe899de80e62ff735854,2025-26,2025,2025-26,india_crude_import_totals_2023_2026.csv
