global_oil_snapshot_id,country_id,canonical_country_name,source_country_name,source_rank,rank,source_proven_reserves_barrels,proven_reserves_barrels,source_production_barrels_per_day,production_barrels_per_day,source_consumption_barrels_per_day,consumption_barrels_per_day,source_exports_barrels_per_day,exports_barrels_per_day,source_imports_barrels_per_day,imports_barrels_per_day,as_of_date,source_dataset,source_row_number,missing_metric_count,validation_status
global-oil-e5afe90d2437e3fa7223,country-7942e84ee77ffefd180f,Venezuela,Venezuela,1,1,298350000000,298350000000,3023000.0,3023000.0,571000.0,571000.0,2452000.0,2452000.0,0.0,0,,global_oil_country.csv,2,0,VALID
global-oil-0e1df26b5425bf45b560,country-6c1925d6560c7c47d21c,Saudi Arabia,Saudi Arabia,2,2,267900000000,267900000000,9684700.0,9684700.0,2817000.0,2817000.0,6880000.0,6880000.0,0.0,0,,global_oil_country.csv,3,0,VALID
global-oil-829c688ff439ed29e939,country-408c7c5887a0f3905767,Canada,Canada,3,3,173100000000,173100000000,3324300.0,3324300.0,2259000.0,2259000.0,1576000.0,1576000.0,770300.0,770300.0,,global_oil_country.csv,4,0,VALID
global-oil-bbaa2d33a655305d81e2,country-d4328f17fc46dfde5a0a,Iran,Iran,4,4,154600000000,154600000000,3113300.0,3113300.0,1709000.0,1709000.0,2445000.0,2445000.0,15600.0,15600.0,,global_oil_country.csv,5,0,VALID
global-oil-57728c8ee4482011a17c,country-818d76d6586437a090e7,Iraq,Iraq,5,5,141400000000,141400000000,3054400.0,3054400.0,818000.0,818000.0,2390000.0,2390000.0,0.0,0,,global_oil_country.csv,6,0,VALID
global-oil-ef63c530958dca705d83,country-9ac506560edb9211e1b5,Kuwait,Kuwait,6,6,104000000000,104000000000,2650000.0,2650000.0,339000.0,339000.0,1395000.0,1395000.0,0.0,0,,global_oil_country.csv,7,0,VALID
global-oil-2967b32356e6148cebdd,country-ccce216a59d326e4558d,United Arab Emirates,United Arab Emirates,7,7,97800000000,97800000000,2820000.0,2820000.0,572100.0,572100.0,2142000.0,2142000.0,0.0,0,,global_oil_country.csv,8,0,VALID
global-oil-891580bedc4eac3a7afe,country-90a6d53df47e4097ad65,Russia,Russia,8,8,80000000000,80000000000,10053800.0,10053800.0,3196000.0,3196000.0,4720000.0,4720000.0,16380.0,16380.0,,global_oil_country.csv,9,0,VALID
global-oil-f43b7c15cf97e81ffc6b,country-f6b323fdd9f99c634640,Libya,Libya,9,9,48010000000,48010000000,918300.0,918300.0,314000.0,314000.0,1378000.0,1378000.0,0.0,0,,global_oil_country.csv,10,0,VALID
global-oil-c6c2cd4e3367f376b7b0,country-3383e4237141bb9feeb2,Nigeria,Nigeria,10,10,37200000000,37200000000,2367400.0,2367400.0,271600.0,271600.0,2341000.0,2341000.0,0.0,0,,global_oil_country.csv,11,0,VALID
global-oil-3dccd31274fbdfe2cb9c,country-4451df5780fe1b2c96c5,Kazakhstan,Kazakhstan,11,11,30000000000,30000000000,1572900.0,1572900.0,244200.0,244200.0,1406000.0,1406000.0,119600.0,119600.0,,global_oil_country.csv,12,0,VALID
global-oil-139fe44fb6a5ec0491fd,country-3fc81a2348ee6614856d,Qatar,Qatar,12,12,25380000000,25380000000,1553000.0,1553000.0,189700.0,189700.0,1389000.0,1389000.0,0.0,0,,global_oil_country.csv,13,0,VALID
global-oil-6af74f45373446408c11,country-981e5b396726008318fc,United States,United States,13,13,20680000000,20680000000,7443400.0,7443400.0,18840000.0,18840000.0,41640.0,41640.0,9213000.0,9213000.0,,global_oil_country.csv,14,0,VALID
global-oil-98fd4686e533fa95c9cd,country-50c0152c2952082aeaf4,China,China,14,14,17300000000,17300000000,4164100.0,4164100.0,9790000.0,9790000.0,33000.0,33000.0,5664000.0,5664000.0,,global_oil_country.csv,15,0,VALID
global-oil-f72e3905c33991ccd191,country-5c8f52ca28966103ff0a,Brazil,Brazil,15,15,13150000000,13150000000,2023900.0,2023900.0,2594000.0,2594000.0,619100.0,619100.0,343600.0,343600.0,,global_oil_country.csv,16,0,VALID
global-oil-c47ba6450fa2c18a84a4,country-d854169a7fa8233ea9a1,Algeria,Algeria,16,16,12200000000,12200000000,1461800.0,1461800.0,316400.0,316400.0,1097000.0,1097000.0,6400.0,6400.0,,global_oil_country.csv,17,0,VALID
global-oil-bc01b7c35e54af890a0e,country-5feeb60f78d8d2224674,Angola,Angola,17,17,10470000000,10470000000,1830700.0,1830700.0,79430.0,79430.0,1928000.0,1928000.0,0.0,0,,global_oil_country.csv,18,0,VALID
global-oil-199a955c6715455aeb69,country-8be2978e343799a3747a,Mexico,Mexico,18,18,10260000000,10260000000,2561900.0,2561900.0,2133000.0,2133000.0,1460000.0,1460000.0,0.0,0,,global_oil_country.csv,19,0,VALID
global-oil-672ec75ef69fde8aa44e,country-f4cb75e90ad07f8c1d38,Ecuador,Ecuador,19,19,8240000000,8240000000,526100.0,526100.0,280000.0,280000.0,413000.0,413000.0,154000.0,154000.0,,global_oil_country.csv,20,0,VALID
global-oil-89e2ed09d1f81c93e110,country-0c341736c12dd6a90849,Azerbaijan,Azerbaijan,20,20,7000000000,7000000000,870600.0,870600.0,168000.0,168000.0,821000.0,821000.0,0.0,0,,global_oil_country.csv,21,0,VALID
global-oil-10e468c6185be02ebf26,country-e883a76a30b245c29f32,Oman,Oman,21,21,5500000000,5500000000,939900.0,939900.0,98000.0,98000.0,705100.0,705100.0,0.0,0,,global_oil_country.csv,22,0,VALID
global-oil-1d3529e8a015312b4b29,country-fb54e9062429a9378555,India,India,22,22,5476000000,5476000000,772100.0,772100.0,3292000.0,3292000.0,0.0,0,3272000.0,3272000.0,,global_oil_country.csv,23,0,VALID
global-oil-6bdb566048e1d9024259,country-1d43cfed6bbe6dd99196,Norway,Norway,23,23,5366000000,5366000000,1529900.0,1529900.0,255200.0,255200.0,1602000.0,1602000.0,11320.0,11320.0,,global_oil_country.csv,24,0,VALID
global-oil-478c114f9f23290021e5,country-b116c99a2c11258bdc6b,Egypt,Egypt,24,24,4400000000,4400000000,514400.0,514400.0,816300.0,816300.0,85000.0,85000.0,48740.0,48740.0,,global_oil_country.csv,25,0,VALID
global-oil-7b487b7785ddc662fc90,country-4558505e43ad952755f6,Vietnam,Vietnam,25,25,4400000000,4400000000,335500.0,335500.0,259900.0,259900.0,188000.0,188000.0,0.0,0,,global_oil_country.csv,26,0,VALID
global-oil-eca10e37bc003fe1a7a4,country-341cf9022a3e6469098e,Indonesia,Indonesia,26,26,4030000000,4030000000,825200.0,825200.0,1322000.0,1322000.0,338100.0,338100.0,388400.0,388400.0,,global_oil_country.csv,27,0,VALID
global-oil-79061c42ed3535b58fc9,country-6a9a10210588981dd8fa,Malaysia,Malaysia,27,27,4000000000,4000000000,515700.0,515700.0,542900.0,542900.0,269000.0,269000.0,160500.0,160500.0,,global_oil_country.csv,28,0,VALID
global-oil-aeb4100686df40b25c43,country-ddea6abd2ee5d012fb6a,South Sudan,South Sudan,28,28,3750000000,3750000000,220000.0,220000.0,,,291800.0,291800.0,0.0,0,,global_oil_country.csv,29,1,REVIEW
global-oil-bb5132a976b5faa82b43,country-0e98cc0b1589b955ff17,United Kingdom,United Kingdom,29,29,3122000000,3122000000,801300.0,801300.0,1217000.0,1217000.0,637800.0,637800.0,1053000.0,1053000.0,,global_oil_country.csv,30,0,VALID
global-oil-4f2c099bc7fbb324605b,country-cc3d6b2176eba4a5795a,Yemen,Yemen,30,30,3000000000,3000000000,129200.0,129200.0,177000.0,177000.0,175200.0,175200.0,0.0,0,,global_oil_country.csv,31,0,VALID
global-oil-20a7df91ca9e0878cbbe,country-3a73954246460ddeee5c,Argentina,Argentina,31,31,2805000000,2805000000,539800.0,539800.0,678100.0,678100.0,90920.0,90920.0,0.0,0,,global_oil_country.csv,32,0,VALID
global-oil-8ef3e0237f0e394cff68,country-38e64378dcc97326eee8,Syria,Syria,32,32,2500000000,2500000000,58000.0,58000.0,258800.0,258800.0,152400.0,152400.0,0.0,0,,global_oil_country.csv,33,0,VALID
global-oil-b8230492dfc2c643edac,country-431debec82077bf2d678,Uganda,Uganda,33,33,2500000000,2500000000,0.0,0,16930.0,16930.0,0.0,0,0.0,0,,global_oil_country.csv,34,0,VALID
global-oil-18d437d99bb52434af22,country-c91bd9c288c0a7c5ca1b,Colombia,Colombia,34,34,2200000000,2200000000,1003200.0,1003200.0,287000.0,287000.0,777900.0,777900.0,10.0,10.0,,global_oil_country.csv,35,0,VALID
global-oil-639bdc7037b7af3d22bc,country-67e218f2bddbbf8b1da1,Gabon,Gabon,35,35,2000000000,2000000000,243200.0,243200.0,15800.0,15800.0,225300.0,225300.0,0.0,0,,global_oil_country.csv,36,0,VALID
global-oil-cff53c6cdcb242ebfe8d,country-7f48a600768b114b5c99,Republic of the Congo,Republic of the Congo,36,36,1600000000,1600000000,265500.0,265500.0,10710.0,10710.0,290000.0,290000.0,0.0,0,,global_oil_country.csv,37,0,VALID
global-oil-d7f548d11a55293c77e7,country-2dec26043f679fdd6bb0,Chad,Chad,37,37,1500000000,1500000000,97900.0,97900.0,1817.0,1817.0,125700.0,125700.0,0.0,0,,global_oil_country.csv,38,0,VALID
global-oil-efb85f57cd899e0697a8,country-c585f1decb986f7ff19b,Australia,Australia,38,38,1433000000,1433000000,332400.0,332400.0,1023000.0,1023000.0,314100.0,314100.0,475900.0,475900.0,,global_oil_country.csv,39,0,VALID
global-oil-c24f963a06833d64e67b,country-eb2230485d2da72ff135,Sudan,Sudan,39,39,1250000000,1250000000,28830.0,28830.0,95450.0,95450.0,97270.0,97270.0,0.0,0,,global_oil_country.csv,40,0,VALID
global-oil-b9a334c38e72d8e301a9,country-0cd165045b47476a308e,Brunei,Brunei,40,40,1100000000,1100000000,122000.0,122000.0,14640.0,14640.0,147900.0,147900.0,0.0,0,,global_oil_country.csv,41,0,VALID
global-oil-1853244cc5004ba7e142,country-8e5afa94476a1439c6f7,Equatorial Guinea,Equatorial Guinea,41,41,1100000000,1100000000,269800.0,269800.0,1588.0,1588.0,319100.0,319100.0,0.0,0,,global_oil_country.csv,42,0,VALID
global-oil-5b923ff896a708687be5,country-5f0bf3ff6b72ac09f881,Denmark,Denmark,42,42,805000000,805000000,175400.0,175400.0,160200.0,160200.0,155200.0,155200.0,55010.0,55010.0,,global_oil_country.csv,43,0,VALID
global-oil-eb43f3490dc3c7d23347,country-1607b15340c3a58e5a71,Trinidad and Tobago,Trinidad and Tobago,43,43,728300000,728300000,81300.0,81300.0,41000.0,41000.0,75340.0,75340.0,70260.0,70260.0,,global_oil_country.csv,44,0,VALID
global-oil-929d4de625587eb3bcd0,country-fc4f9c94394e55c0c42b,Ghana,Ghana,44,44,660000000,660000000,97900.0,97900.0,61590.0,61590.0,0.0,0,32060.0,32060.0,,global_oil_country.csv,45,0,VALID
