product_id,product,source_product_name,financial_year,financial_year_start,calendar_year,month_number,month_name,consumption_metric_tonnes,consumption_unit,source_dataset,source_row_number,validation_status
product-5575ab85b7b20e8c4793,LPG,LPG,2024-25,2024,2024,4,APR,2373,metric_tonnes,india_petroleum_consumption.csv,2,VALID
product-5575ab85b7b20e8c4793,LPG,LPG,2024-25,2024,2024,5,MAY,2410,metric_tonnes,india_petroleum_consumption.csv,3,VALID
product-5575ab85b7b20e8c4793,LPG,LPG,2024-25,2024,2024,6,JUN,2320,metric_tonnes,india_petroleum_consumption.csv,4,VALID
product-5575ab85b7b20e8c4793,LPG,LPG,2024-25,2024,2024,7,JUL,2649,metric_tonnes,india_petroleum_consumption.csv,5,VALID
product-5575ab85b7b20e8c4793,LPG,LPG,2024-25,2024,2024,8,AUG,2664,metric_tonnes,india_petroleum_consumption.csv,6,VALID
product-5575ab85b7b20e8c4793,LPG,LPG,2024-25,2024,2024,9,SEP,2610,metric_tonnes,india_petroleum_consumption.csv,7,VALID
product-5575ab85b7b20e8c4793,LPG,LPG,2024-25,2024,2024,10,OCT,2721,metric_tonnes,india_petroleum_consumption.csv,8,VALID
product-5575ab85b7b20e8c4793,LPG,LPG,2024-25,2024,2024,11,NOV,2665,metric_tonnes,india_petroleum_consumption.csv,9,VALID
product-5575ab85b7b20e8c4793,LPG,LPG,2024-25,2024,2024,12,DEC,2772,metric_tonnes,india_petroleum_consumption.csv,10,VALID
product-5575ab85b7b20e8c4793,LPG,LPG,2024-25,2024,2025,1,JAN,2844,metric_tonnes,india_petroleum_consumption.csv,11,VALID
product-5575ab85b7b20e8c4793,LPG,LPG,2024-25,2024,2025,2,FEB,2573,metric_tonnes,india_petroleum_consumption.csv,12,VALID
product-5575ab85b7b20e8c4793,LPG,LPG,2024-25,2024,2025,3,MAR,2722,metric_tonnes,india_petroleum_consumption.csv,13,VALID
product-352b4599428c13efa359,Naphtha,Naphtha,2024-25,2024,2024,4,APR,1217,metric_tonnes,india_petroleum_consumption.csv,14,VALID
product-352b4599428c13efa359,Naphtha,Naphtha,2024-25,2024,2024,5,MAY,1090,metric_tonnes,india_petroleum_consumption.csv,15,VALID
