port_id,canonical_port_name,source_port_name,source_name_variants,un_locode,latitude,longitude,country,liquid_bulk_facility,oil_terminal_facility,source_dataset,mapping_status,mapping_method,source_record_key,world_port_index_number,source_unlocode_status
port-055c1dd065d4384a4009,Ratnagiri,Ratnagiri,Ratnagiri,IN RTC,16.983333,73.283333,India,Unknown,Unknown,india_world_port_index.csv,MAPPED,source_identity_preserved,wpi_row_0043,48900.0,UNIQUE_IN_SOURCE
port-06ae5404ea9499c64d02,Kamarajar Port,Kamarajar Port,Kamarajar Port,INENR,13.26138889,80.3425,India,Unknown,Unknown,india_daily_port_activity_2019_2024.csv;india_world_port_index.csv,MAPPED,source_identity_preserved,wpi_row_0038,49454.0,UNIQUE_IN_SOURCE
port-0d287d6b94ae0d13cfff,Paradip,Paradip,Paradip,IN PPT,20.266667,86.683333,India,Unknown,Unknown,india_daily_port_activity_2019_2024.csv;india_world_port_index.csv,MAPPED,source_identity_preserved,wpi_row_0037,49535.0,UNIQUE_IN_SOURCE
port-0fe64318e948fc83d467,Baleshwar,Baleshwar,Baleshwar,,21.48333333,86.95,India,Unknown,Unknown,india_world_port_index.csv,MAPPED,source_identity_preserved,wpi_row_0050,49550.0,MISSING
port-172252e2df5588dd95db,Vishakhapatnam,Vishakhapatnam,Visakhapatnam;Vishakhapatnam,IN NRP,17.683333,83.3,India,Unknown,Unknown,india_daily_port_activity_2019_2024.csv;india_world_port_index.csv,MAPPED,source_identity_preserved,wpi_row_0036,49480.0,UNIQUE_IN_SOURCE
port-1c1e30e8424f4a9a6094,Bhavnagar,Bhavnagar,Bhavnagar,IN BHU,21.766667,72.233333,India,Unknown,Unknown,india_world_port_index.csv,MAPPED,source_identity_preserved,wpi_row_0035,48760.0,UNIQUE_IN_SOURCE
port-1c22246f55049f5ed930,Chennai (Madras),Chennai (Madras),Chennai (Madras),IN MAA,13.1,80.3,India,Unknown,Unknown,india_daily_port_activity_2019_2024.csv;india_world_port_index.csv,MAPPED,source_identity_preserved,wpi_row_0032,49450.0,UNIQUE_IN_SOURCE
port-1cf690aa3f276abd67e7,Calicut (Kozhikode),Calicut (Kozhikode),Calicut (Kozhikode),IN CCJ,11.25,75.766667,India,Unknown,Unknown,india_world_port_index.csv,MAPPED,source_identity_preserved,wpi_row_0056,49100.0,UNIQUE_IN_SOURCE
port-1d29a97e790ab2ef2916,Bedi,Bedi,Bedi,IN BED,22.57305556,70.04555556,India,Unknown,Unknown,india_world_port_index.csv,MAPPED,source_identity_preserved,wpi_row_0005,48650.0,UNIQUE_IN_SOURCE
port-21bd5d045171a73e0012,Sikka,Sikka,Sikka,IN SKK,22.433333,69.833333,India,Unknown,Unknown,india_daily_port_activity_2019_2024.csv;india_world_port_index.csv,MAPPED,source_identity_preserved,wpi_row_0010,48613.0,UNIQUE_IN_SOURCE
port-251a9f32cbcedd0b8e47,Mumbai (Bombay),Mumbai (Bombay),Mumbai (Bombay),IN BOM,18.966667,72.866667,India,Unknown,Unknown,india_world_port_index.csv,MAPPED,source_identity_preserved,wpi_row_0041,48840.0,UNIQUE_IN_SOURCE
port-298809c1c3fa26765fb6,Port Dabhol,Port Dabhol,Port Dabhol,INDHP,17.58333333,73.16666667,India,Unknown,Unknown,india_world_port_index.csv,MAPPED,source_identity_preserved,wpi_row_0019,48890.0,UNIQUE_IN_SOURCE
port-29be63f547b55a854648,Mandvi,Mandvi,Mandvi,IN MDV,22.833333,69.35,India,Unknown,Unknown,india_world_port_index.csv,MAPPED,source_identity_preserved,wpi_row_0003,48620.0,UNIQUE_IN_SOURCE
port-2fcdec423c336e123709,Gangavaram,Gangavaram,Gangavaram,INGGV,17.63333333,83.25,India,Unknown,Unknown,india_world_port_index.csv,MAPPED,source_identity_preserved,wpi_row_0023,49479.0,UNIQUE_IN_SOURCE
port-307b8b55f1de433b97ea,Veraval,Veraval,Veraval,IN VVA,20.9,70.366667,India,Unknown,Unknown,india_world_port_index.csv,MAPPED,source_identity_preserved,wpi_row_0008,48690.0,UNIQUE_IN_SOURCE
port-36dc5f2ad1ba3db4960f,Dahej,Dahej,Dahej,IN DAH,21.7,72.533333,India,Unknown,Unknown,india_daily_port_activity_2019_2024.csv;india_world_port_index.csv,MAPPED,source_identity_preserved,wpi_row_0046,48674.0,UNIQUE_IN_SOURCE
port-39c7e661cbcd2de008a0,Pamban,Pamban,Pamban,,9.283333333,79.21666667,India,Unknown,Unknown,india_world_port_index.csv,MAPPED,source_identity_preserved,wpi_row_0049,49330.0,MISSING
port-3d0be208ea358054f9de,Kandla,Kandla,Deendayal (Kandla);Kandla,IN IXY,23.033333,70.216667,India,Unknown,Unknown,india_daily_port_activity_2019_2024.csv;india_world_port_index.csv,MAPPED,source_identity_preserved,wpi_row_0011,48630.0,UNIQUE_IN_SOURCE
port-3d47752f26096102c677,Kattupalli Port,Kattupalli Port,Kattupalli;Kattupalli Port,INKRI,13.30694444,80.35222222,India,Unknown,Unknown,india_daily_port_activity_2019_2024.csv;india_world_port_index.csv,MAPPED,source_identity_preserved,wpi_row_0048,49454.5,DUPLICATE
port-3e27b5a6fb79964c0dc5,Azhikal (Azhikkal),Azhikal (Azhikkal),Azhikal (Azhikkal),IN AZK,11.94555556,75.30944444,India,Unknown,Unknown,india_world_port_index.csv,MAPPED,source_identity_preserved,wpi_row_0053,49040.0,UNIQUE_IN_SOURCE
port-42e3af128436239dad1c,Vadinar Terminal,Vadinar Terminal,Vadinar Terminal,IN VAD,22.46666667,69.66666667,India,Yes,Yes,india_world_port_index.csv,MAPPED,source_identity_preserved,wpi_row_0009,48615.0,UNIQUE_IN_SOURCE
port-42fee4d8d7b7216bf0bc,Calcutta,Calcutta,Calcutta,IN CCU,22.55,88.333333,India,Unknown,Unknown,india_daily_port_activity_2019_2024.csv;india_world_port_index.csv,MAPPED,source_identity_preserved,wpi_row_0028,49560.0,UNIQUE_IN_SOURCE
port-4438193452fc81328c0d,Tuticorin,Tuticorin,Tuticorin;V. O. Chidambaranar (Tuticorin),IN TUT,8.8,78.166667,India,Unknown,Unknown,india_daily_port_activity_2019_2024.csv;india_world_port_index.csv,MAPPED,source_identity_preserved,wpi_row_0016,49320.0,UNIQUE_IN_SOURCE
