port_id,source_dataset,source_record_key,source_port_name,source_world_port_index_number,source_un_locode,canonical_port_name,mapping_status,mapping_method,review_reason
port-dae39d3ff7f4909b3631,india_world_port_index.csv,wpi_row_0002,Machilipatnam,49460.0,,Machilipatnam,MANUAL_REVIEW,duplicate_source_identifier_preserved,Duplicate World Port Index number; preserve as separate source identity pending review.
port-29be63f547b55a854648,india_world_port_index.csv,wpi_row_0003,Mandvi,48620.0,IN MDV,Mandvi,MAPPED,source_identity_preserved,
port-686ca2501d5e3ea23769,india_world_port_index.csv,wpi_row_0004,Hazira,48790.0,IN HZA,Hazira,MAPPED,source_identity_preserved,
port-1d29a97e790ab2ef2916,india_world_port_index.csv,wpi_row_0005,Bedi,48650.0,IN BED,Bedi,MAPPED,source_identity_preserved,
port-cf886631046b9485fcf9,india_world_port_index.csv,wpi_row_0006,Mundra,48617.0,IN MUN,Mundra,MAPPED,source_identity_preserved,
port-d4e0f4edd9cba2867c8c,india_world_port_index.csv,wpi_row_0007,Okha,48670.0,IN OKH,Okha,MAPPED,source_identity_preserved,
port-307b8b55f1de433b97ea,india_world_port_index.csv,wpi_row_0008,Veraval,48690.0,IN VVA,Veraval,MAPPED,source_identity_preserved,
port-42e3af128436239dad1c,india_world_port_index.csv,wpi_row_0009,Vadinar Terminal,48615.0,IN VAD,Vadinar Terminal,MAPPED,source_identity_preserved,
port-21bd5d045171a73e0012,india_world_port_index.csv,wpi_row_0010,Sikka,48613.0,IN SKK,Sikka,MAPPED,source_identity_preserved,
port-3d0be208ea358054f9de,india_world_port_index.csv,wpi_row_0011,Kandla,48630.0,IN IXY,Kandla,MAPPED,source_identity_preserved,
port-d092b54ab9322124321d,india_world_port_index.csv,wpi_row_0012,Porbandar,48680.0,IN PBD,Porbandar,MAPPED,source_identity_preserved,
port-f7a9c9c9e2024b0f8338,india_world_port_index.csv,wpi_row_0013,Navlakhi,48635.0,IN NAV,Navlakhi,MAPPED,source_identity_preserved,
port-faee4b72dfaea88f350c,india_world_port_index.csv,wpi_row_0014,New Mangalore,49030.0,IN NML,New Mangalore,MAPPED,source_identity_preserved,
port-ad5b2e8e77d8e4fc7a4c,india_world_port_index.csv,wpi_row_0015,Kochi (Cochin),49130.0,IN KOC,Kochi (Cochin),MAPPED,source_identity_preserved,
port-4438193452fc81328c0d,india_world_port_index.csv,wpi_row_0016,Tuticorin,49320.0,IN TUT,Tuticorin,MAPPED,source_identity_preserved,
port-8ee2cf3cc9d4dce40cb2,india_world_port_index.csv,wpi_row_0017,Honavar,49010.0,,Honavar,MAPPED,source_identity_preserved,
port-971812e9e27eb12158b9,india_world_port_index.csv,wpi_row_0018,Krishnapatnam,49455.0,INKRI,Krishnapatnam,MAPPED,source_identity_preserved,
port-298809c1c3fa26765fb6,india_world_port_index.csv,wpi_row_0019,Port Dabhol,48890.0,INDHP,Port Dabhol,MAPPED,source_identity_preserved,
port-d5a9bed6cf51834a6032,india_world_port_index.csv,wpi_row_0020,Jaigarh Bay,48895.0,INJGD,Jaigarh Bay,MAPPED,source_identity_preserved,
port-eb16595338545cf9cccb,india_world_port_index.csv,wpi_row_0021,Jafarabad,48720.0,INJBD,Jafarabad,MAPPED,source_identity_preserved,
port-e223d4da714bf54f8a68,india_world_port_index.csv,wpi_row_0022,Dhamra,49540.0,INDMQ,Dhamra,MAPPED,source_identity_preserved,
port-2fcdec423c336e123709,india_world_port_index.csv,wpi_row_0023,Gangavaram,49479.0,INGGV,Gangavaram,MAPPED,source_identity_preserved,
port-d8b7a2d1702c49b877b0,india_world_port_index.csv,wpi_row_0024,Kakinada Bay,49470.0,IN KAK,Kakinada Bay,MAPPED,source_identity_preserved,
port-af581fe2a271caa3580c,india_world_port_index.csv,wpi_row_0025,Karaikal Port,49370.0,IN KRK,Karaikal Port,MAPPED,source_identity_preserved,
port-7ccb7d8a387c142e3f0c,india_world_port_index.csv,wpi_row_0026,Cuddalore,49410.0,IN CDL,Cuddalore,MAPPED,source_identity_preserved,
port-b5f86f0e981c94ada425,india_world_port_index.csv,wpi_row_0027,Magdalla,48770.0,IN MDA,Magdalla,MAPPED,source_identity_preserved,
port-42fee4d8d7b7216bf0bc,india_world_port_index.csv,wpi_row_0028,Calcutta,49560.0,IN CCU,Calcutta,MAPPED,source_identity_preserved,
port-906d1268a74191acac1d,india_world_port_index.csv,wpi_row_0029,Jawaharlal Nehru Port (Nhava Shiva),48845.0,IN NSA,Jawaharlal Nehru Port (Nhava Shiva),MAPPED,source_identity_preserved,
port-caaa368314c15ca3dc54,india_world_port_index.csv,wpi_row_0030,Karwar,48990.0,IN KRW,Karwar,MAPPED,source_identity_preserved,
port-4cbd3879645dac45799b,india_world_port_index.csv,wpi_row_0031,Haldia Port,49555.0,IN HAL,Haldia Port,MAPPED,source_identity_preserved,
port-1c22246f55049f5ed930,india_world_port_index.csv,wpi_row_0032,Chennai (Madras),49450.0,IN MAA,Chennai (Madras),MAPPED,source_identity_preserved,
port-b2fb24927be7f0bd57b6,india_world_port_index.csv,wpi_row_0033,Pipavav Bandar,48730.0,IN PAV,Pipavav Bandar,MAPPED,source_identity_preserved,
port-a641dc3f4ec93903d922,india_world_port_index.csv,wpi_row_0034,Pondicherry,49430.0,IN PNY,Pondicherry,MAPPED,source_identity_preserved,
port-1c1e30e8424f4a9a6094,india_world_port_index.csv,wpi_row_0035,Bhavnagar,48760.0,IN BHU,Bhavnagar,MAPPED,source_identity_preserved,
port-172252e2df5588dd95db,india_world_port_index.csv,wpi_row_0036,Vishakhapatnam,49480.0,IN NRP,Vishakhapatnam,MAPPED,source_identity_preserved,
port-0d287d6b94ae0d13cfff,india_world_port_index.csv,wpi_row_0037,Paradip,49535.0,IN PPT,Paradip,MAPPED,source_identity_preserved,
port-06ae5404ea9499c64d02,india_world_port_index.csv,wpi_row_0038,Kamarajar Port,49454.0,INENR,Kamarajar Port,MAPPED,source_identity_preserved,
port-88f01190b4a80ba20df5,india_world_port_index.csv,wpi_row_0039,Gopalpur,49500.0,IN GPR,Gopalpur,MAPPED,source_identity_preserved,
port-9f9cc159703727271039,india_world_port_index.csv,wpi_row_0040,Marmagao,48970.0,IN MRM,Marmagao,MAPPED,source_identity_preserved,
port-251a9f32cbcedd0b8e47,india_world_port_index.csv,wpi_row_0041,Mumbai (Bombay),48840.0,IN BOM,Mumbai (Bombay),MAPPED,source_identity_preserved,
port-9b61088588cd94fb2a8d,india_world_port_index.csv,wpi_row_0042,Beypore,49110.0,IN BEY,Beypore,MAPPED,source_identity_preserved,
port-055c1dd065d4384a4009,india_world_port_index.csv,wpi_row_0043,Ratnagiri,48900.0,IN RTC,Ratnagiri,MAPPED,source_identity_preserved,
port-56639d8e695fa228aef3,india_world_port_index.csv,wpi_row_0044,Belekeri,49000.0,IN BLK,Belekeri,MAPPED,source_identity_preserved,
port-64624485ed615624d35d,india_world_port_index.csv,wpi_row_0045,Nagappattinam,49350.0,IN NPT,Nagappattinam,MAPPED,source_identity_preserved,
port-36dc5f2ad1ba3db4960f,india_world_port_index.csv,wpi_row_0046,Dahej,48674.0,IN DAH,Dahej,MAPPED,source_identity_preserved,
port-c4bd8b46758ca2002eba,india_world_port_index.csv,wpi_row_0047,Panaji,48960.0,IN PAN,Panaji,MAPPED,source_identity_preserved,
port-3d47752f26096102c677,india_world_port_index.csv,wpi_row_0048,Kattupalli Port,49454.5,INKRI,Kattupalli Port,MAPPED,source_identity_preserved,
port-39c7e661cbcd2de008a0,india_world_port_index.csv,wpi_row_0049,Pamban,49330.0,,Pamban,MAPPED,source_identity_preserved,
