product_id,source_name,source_code,source_dataset,mapping_status,mapping_method
product-198fc08108a024c9da45,ATF,,india_petroleum_consumption.csv,MAPPED,source_label_unambiguous
product-790810d5c5602dbecaf2,Bitumen,,india_petroleum_consumption.csv,MAPPED,source_label_unambiguous
product-795922ede07e28180caa,FO & LSHS,,india_petroleum_consumption.csv,MAPPED,source_label_unambiguous
product-a81277714f19fd11a0e0,HSD,,india_petroleum_consumption.csv,MAPPED,source_label_unambiguous
product-1fe5626b86832387d536,LDO,,india_petroleum_consumption.csv,MAPPED,source_label_unambiguous
product-5575ab85b7b20e8c4793,LPG,,india_petroleum_consumption.csv,MAPPED,source_label_unambiguous
product-95702a7f9ab5e32d6bf4,Lubricants & Greases,,india_petroleum_consumption.csv,MAPPED,source_label_unambiguous
product-8d171ab9b604e34124ea,MS,,india_petroleum_consumption.csv,MAPPED,source_label_unambiguous
product-352b4599428c13efa359,Naphtha,,india_petroleum_consumption.csv,MAPPED,source_label_unambiguous
product-896a0734e71eaafd55e7,Others,,india_petroleum_consumption.csv,MAPPED,source_label_unambiguous
product-64fce74e71066b7ec4cf,Petroleum coke,,india_petroleum_consumption.csv,MAPPED,source_label_unambiguous
product-cdf634489bfbff660916,SKO,,india_petroleum_consumption.csv,MAPPED,source_label_unambiguous
product-fe52ad63a114c5ebc1b8,Petroleum: Crude,S5,supplier_crude_imports_2014_2017.csv,MAPPED,source_code_and_description_unambiguous
