refinery_id,refinery_name,company,state,capacity,capacity_unit,latitude,longitude,source_company_name,source_refinery_name,source_state_name,source_dataset,source_row_number,state_mapping_status,capacity_status
refinery-16f2ffe2bd625a195145,"IOC, Digboi",Indian Oil Corporation Limited,Assam,650.0,thousand_metric_tonnes_per_year,,,INDIAN OIL CORPORATION LIMITED,"IOC, Digboi",ASSAM,india_refinery_capacity_april_2026.csv,2,STANDARDIZED_CASE_ONLY,REPORTED
refinery-1e607de7028b9562ba9d,"IOC, Guwahati",Indian Oil Corporation Limited,Assam,1200.0,thousand_metric_tonnes_per_year,,,INDIAN OIL CORPORATION LIMITED,"IOC, Guwahati",ASSAM,india_refinery_capacity_april_2026.csv,3,STANDARDIZED_CASE_ONLY,REPORTED
refinery-b26a67787b7ad0c1a108,"IOC, Koyali",Indian Oil Corporation Limited,Gujarat,13700.0,thousand_metric_tonnes_per_year,,,INDIAN OIL CORPORATION LIMITED,"IOC, Koyali",GUJARAT,india_refinery_capacity_april_2026.csv,4,STANDARDIZED_CASE_ONLY,REPORTED
refinery-ddcb7bc1d2c3587e0206,"IOC, Barauni",Indian Oil Corporation Limited,Bihar,6000.0,thousand_metric_tonnes_per_year,,,INDIAN OIL CORPORATION LIMITED,"IOC, Barauni",BIHAR,india_refinery_capacity_april_2026.csv,5,STANDARDIZED_CASE_ONLY,REPORTED
refinery-3ebbfa8bfe4fcd853090,"IOC, Haldia",Indian Oil Corporation Limited,West Bengal,8000.0,thousand_metric_tonnes_per_year,,,INDIAN OIL CORPORATION LIMITED,"IOC, Haldia",WEST BENGAL,india_refinery_capacity_april_2026.csv,6,STANDARDIZED_CASE_ONLY,REPORTED
refinery-2ed4022ae8f1fc0df1c3,"IOC, Mathura",Indian Oil Corporation Limited,Uttar Pradesh,8000.0,thousand_metric_tonnes_per_year,,,INDIAN OIL CORPORATION LIMITED,"IOC, Mathura",UTTAR PRADESH,india_refinery_capacity_april_2026.csv,7,STANDARDIZED_CASE_ONLY,REPORTED
refinery-6ed0770ba002c7137ead,"IOC, Panipat",Indian Oil Corporation Limited,Haryana,15000.0,thousand_metric_tonnes_per_year,,,INDIAN OIL CORPORATION LIMITED,"IOC, Panipat",HARYANA,india_refinery_capacity_april_2026.csv,8,STANDARDIZED_CASE_ONLY,REPORTED
refinery-06fc3ae96e93b92f091f,"IOC, Bongaigaon",Indian Oil Corporation Limited,Assam,2700.0,thousand_metric_tonnes_per_year,,,INDIAN OIL CORPORATION LIMITED,"IOC, Bongaigaon",ASSAM,india_refinery_capacity_april_2026.csv,9,STANDARDIZED_CASE_ONLY,REPORTED
refinery-d6474b2cf97a887365fc,"IOC, Paradip",Indian Oil Corporation Limited,Odisha,15000.0,thousand_metric_tonnes_per_year,,,INDIAN OIL CORPORATION LIMITED,"IOC, Paradip",ODISHA,india_refinery_capacity_april_2026.csv,10,STANDARDIZED_CASE_ONLY,REPORTED
refinery-9cc2817e0ab3aeb549ae,"HPC, Mumbai",Hindustan Petroleum Corporation Limited,Maharashtra,9500.0,thousand_metric_tonnes_per_year,,,HINDUSTAN PETROLEUM CORPORATION LIMITED,"HPC, Mumbai",MAHARASHTRA,india_refinery_capacity_april_2026.csv,11,STANDARDIZED_CASE_ONLY,REPORTED
refinery-cde3cd0c803ad63da84f,"HPC, Visakh",Hindustan Petroleum Corporation Limited,Andhra Pradesh,15000.0,thousand_metric_tonnes_per_year,,,HINDUSTAN PETROLEUM CORPORATION LIMITED,"HPC, Visakh",ANDHRA PRADESH,india_refinery_capacity_april_2026.csv,12,STANDARDIZED_CASE_ONLY,REPORTED
refinery-21447995bc5b82fa88ea,"BPC, Mumbai",Bharat Petroleum Corporation Limited,Maharashtra,12000.0,thousand_metric_tonnes_per_year,,,BHARAT PETROLEUM CORPORATION LIMITED,"BPC, Mumbai",MAHARASHTRA,india_refinery_capacity_april_2026.csv,13,STANDARDIZED_CASE_ONLY,REPORTED
refinery-ae548d16e9f8e503e505,"BPC, Kochi",Bharat Petroleum Corporation Limited,Kerala,15500.0,thousand_metric_tonnes_per_year,,,BHARAT PETROLEUM CORPORATION LIMITED,"BPC, Kochi",KERALA,india_refinery_capacity_april_2026.csv,14,STANDARDIZED_CASE_ONLY,REPORTED
refinery-ab5411d899776f49ee1d,"BPC, Bina",Bharat Petroleum Corporation Limited,Madhya Pradesh,7800.0,thousand_metric_tonnes_per_year,,,BHARAT PETROLEUM CORPORATION LIMITED,"BPC, Bina",MADHYA PRADESH,india_refinery_capacity_april_2026.csv,15,STANDARDIZED_CASE_ONLY,REPORTED
