financial_year,financial_year_start,country_id,quantity_tonnes,quantity_unit,source_country_name,source_country_normalized_name,country_code,source_product_code,source_product_description,product_id,source_quantity_unit,source_trade_value_source_units,source_dataset,source_row_number,country_mapping_status,validation_status
2014-15,2014,country-6c1925d6560c7c47d21c,34492347.0,tonnes,Saudi Arab,Saudi Arabia,11351,S5,Petroleum: Crude,product-fe52ad63a114c5ebc1b8,Ton,21803.39542,supplier_crude_imports_2014_2017.csv,2,MAPPED,VALID
2014-15,2014,country-818d76d6586437a090e7,24017371.0,tonnes,Iraq,Iraq,11191,S5,Petroleum: Crude,product-fe52ad63a114c5ebc1b8,Ton,14174.33334,supplier_crude_imports_2014_2017.csv,3,MAPPED,VALID
2014-15,2014,country-7942e84ee77ffefd180f,22751603.0,tonnes,Venezuela,Venezuela,6433,S5,Petroleum: Crude,product-fe52ad63a114c5ebc1b8,Ton,11597.91458,supplier_crude_imports_2014_2017.csv,4,MAPPED,VALID
2014-15,2014,country-9ac506560edb9211e1b5,18816740.0,tonnes,Kuwait,Kuwait,11219,S5,Petroleum: Crude,product-fe52ad63a114c5ebc1b8,Ton,11478.89721,supplier_crude_imports_2014_2017.csv,5,MAPPED,VALID
2014-15,2014,country-3383e4237141bb9feeb2,17928554.0,tonnes,Nigeria,Nigeria,3291,S5,Petroleum: Crude,product-fe52ad63a114c5ebc1b8,Ton,12935.05145,supplier_crude_imports_2014_2017.csv,6,MAPPED,VALID
2014-15,2014,country-ccce216a59d326e4558d,16262447.0,tonnes,U Arab Emts,United Arab Emirates,11419,S5,Petroleum: Crude,product-fe52ad63a114c5ebc1b8,Ton,11057.33382,supplier_crude_imports_2014_2017.csv,7,MAPPED,VALID
2014-15,2014,country-d4328f17fc46dfde5a0a,11200311.0,tonnes,Iran,Iran,10189,S5,Petroleum: Crude,product-fe52ad63a114c5ebc1b8,Ton,7039.691692,supplier_crude_imports_2014_2017.csv,8,MAPPED,VALID
2014-15,2014,country-5feeb60f78d8d2224674,6795945.0,tonnes,Angola,Angola,3011,S5,Petroleum: Crude,product-fe52ad63a114c5ebc1b8,Ton,4418.293989,supplier_crude_imports_2014_2017.csv,9,MAPPED,VALID
2014-15,2014,country-8be2978e343799a3747a,5126218.0,tonnes,Mexico,Mexico,9259,S5,Petroleum: Crude,product-fe52ad63a114c5ebc1b8,Ton,2684.266906,supplier_crude_imports_2014_2017.csv,10,MAPPED,VALID
2014-15,2014,country-5c8f52ca28966103ff0a,4597955.0,tonnes,Brazil,Brazil,6043,S5,Petroleum: Crude,product-fe52ad63a114c5ebc1b8,Ton,2510.807806,supplier_crude_imports_2014_2017.csv,11,MAPPED,VALID
2014-15,2014,country-6a9a10210588981dd8fa,3468799.0,tonnes,Malaysia,Malaysia,10245,S5,Petroleum: Crude,product-fe52ad63a114c5ebc1b8,Ton,2464.816778,supplier_crude_imports_2014_2017.csv,12,MAPPED,VALID
2014-15,2014,country-3fc81a2348ee6614856d,3439602.0,tonnes,Qatar,Qatar,11335,S5,Petroleum: Crude,product-fe52ad63a114c5ebc1b8,Ton,2301.395707,supplier_crude_imports_2014_2017.csv,13,MAPPED,VALID
2014-15,2014,country-c91bd9c288c0a7c5ca1b,3106836.0,tonnes,Colombia,Colombia,6083,S5,Petroleum: Crude,product-fe52ad63a114c5ebc1b8,Ton,1744.829063,supplier_crude_imports_2014_2017.csv,14,MAPPED,VALID
2014-15,2014,country-b116c99a2c11258bdc6b,2521118.0,tonnes,Egypt A Rp,Egypt,4111,S5,Petroleum: Crude,product-fe52ad63a114c5ebc1b8,Ton,1322.996536,supplier_crude_imports_2014_2017.csv,15,MAPPED,VALID
2014-15,2014,country-f4cb75e90ad07f8c1d38,1463779.0,tonnes,Ecuador,Ecuador,6109,S5,Petroleum: Crude,product-fe52ad63a114c5ebc1b8,Ton,962.330486,supplier_crude_imports_2014_2017.csv,16,MAPPED,VALID
2014-15,2014,country-63c8807c2fd92b19aaf7,1273908.0,tonnes,Netherland,Netherlands,13275,S5,Petroleum: Crude,product-fe52ad63a114c5ebc1b8,Ton,746.684325,supplier_crude_imports_2014_2017.csv,17,MAPPED,VALID
2014-15,2014,country-1366ad3415239832b32d,1199720.0,tonnes,Cameroon,Cameroon,2057,S5,Petroleum: Crude,product-fe52ad63a114c5ebc1b8,Ton,705.085414,supplier_crude_imports_2014_2017.csv,18,MAPPED,VALID
2014-15,2014,country-0cd165045b47476a308e,1178929.0,tonnes,Brunei,Brunei,10047,S5,Petroleum: Crude,product-fe52ad63a114c5ebc1b8,Ton,835.03574,supplier_crude_imports_2014_2017.csv,19,MAPPED,VALID
2014-15,2014,country-8e5afa94476a1439c6f7,1124772.0,tonnes,Equtl Guinea,Equatorial Guinea,3117,S5,Petroleum: Crude,product-fe52ad63a114c5ebc1b8,Ton,745.558775,supplier_crude_imports_2014_2017.csv,20,MAPPED,VALID
2014-15,2014,country-67e218f2bddbbf8b1da1,1053133.0,tonnes,Gabon,Gabon,2141,S5,Petroleum: Crude,product-fe52ad63a114c5ebc1b8,Ton,726.141309,supplier_crude_imports_2014_2017.csv,21,MAPPED,VALID
