financial_year,pc_code,pc_description,country_code,country_source_name,country_normalized,quantity_tonnes,quantity_unit,trade_value_source_units
2014-2015,S5,Petroleum: Crude,11351,Saudi Arab,Saudi Arabia,34492347.0,Ton,21803.39542
2014-2015,S5,Petroleum: Crude,11191,Iraq,Iraq,24017371.0,Ton,14174.33334
2014-2015,S5,Petroleum: Crude,6433,Venezuela,Venezuela,22751603.0,Ton,11597.91458
2014-2015,S5,Petroleum: Crude,11219,Kuwait,Kuwait,18816740.0,Ton,11478.89721
2014-2015,S5,Petroleum: Crude,3291,Nigeria,Nigeria,17928554.0,Ton,12935.05145
2014-2015,S5,Petroleum: Crude,11419,U Arab Emts,United Arab Emirates,16262447.0,Ton,11057.33382
2014-2015,S5,Petroleum: Crude,10189,Iran,Iran,11200311.0,Ton,7039.691692
2014-2015,S5,Petroleum: Crude,3011,Angola,Angola,6795945.0,Ton,4418.293989
2014-2015,S5,Petroleum: Crude,9259,Mexico,Mexico,5126218.0,Ton,2684.266906
2014-2015,S5,Petroleum: Crude,6043,Brazil,Brazil,4597955.0,Ton,2510.807806
2014-2015,S5,Petroleum: Crude,10245,Malaysia,Malaysia,3468799.0,Ton,2464.816778
2014-2015,S5,Petroleum: Crude,11335,Qatar,Qatar,3439602.0,Ton,2301.395707
2014-2015,S5,Petroleum: Crude,6083,Colombia,Colombia,3106836.0,Ton,1744.829063
2014-2015,S5,Petroleum: Crude,4111,Egypt A Rp,Egypt,2521118.0,Ton,1322.996536
2014-2015,S5,Petroleum: Crude,6109,Ecuador,Ecuador,1463779.0,Ton,962.330486
2014-2015,S5,Petroleum: Crude,13275,Netherland,Netherlands,1273908.0,Ton,746.684325
2014-2015,S5,Petroleum: Crude,2057,Cameroon,Cameroon,1199720.0,Ton,705.085414
2014-2015,S5,Petroleum: Crude,10047,Brunei,Brunei,1178929.0,Ton,835.03574
2014-2015,S5,Petroleum: Crude,3117,Equtl Guinea,Equatorial Guinea,1124772.0,Ton,745.558775
2014-2015,S5,Petroleum: Crude,2141,Gabon,Gabon,1053133.0,Ton,726.141309
2014-2015,S5,Petroleum: Crude,16409,Turkey,Turkey,872418.0,Ton,586.727304
2014-2015,S5,Petroleum: Crude,11301,Oman,Oman,797995.0,Ton,561.984013
2014-2015,S5,Petroleum: Crude,4381,Sudan,Sudan,759164.0,Ton,482.584662
2014-2015,S5,Petroleum: Crude,15212,Kazakhstan,Kazakhstan,672090.0,Ton,554.872708
2014-2015,S5,Petroleum: Crude,4005,Algeria,Algeria,520800.0,Ton,347.153441
2014-2015,S5,Petroleum: Crude,2087,Congo P Rep,Republic of the Congo,383021.0,Ton,238.163419
2014-2015,S5,Petroleum: Crude,3167,Guinea,Guinea,308906.0,Ton,246.021071
2014-2015,S5,Petroleum: Crude,6015,Argentina,Argentina,299819.0,Ton,215.81084
2014-2015,S5,Petroleum: Crude,15021,Azerbaijan,Azerbaijan,222308.0,Ton,186.603381
2014-2015,S5,Petroleum: Crude,11453,Yemen Republc,Yemen,213391.0,Ton,90.565309
2014-2015,S5,Petroleum: Crude,15344,Russia,Russia,201837.0,Ton,170.834691
2014-2015,S5,Petroleum: Crude,10187,Indonesia,Indonesia,142310.0,Ton,75.831996
2014-2015,S5,Petroleum: Crude,2069,Chad,Chad,136288.0,Ton,46.925479
2014-2015,S5,Petroleum: Crude,10017,Australia,Australia,94695.0,Ton,52.366458
2014-2015,S5,Petroleum: Crude,4382,South Sudan,South Sudan,91371.0,Ton,66.243641
2014-2015,S5,Petroleum: Crude,2459,Congo D. Rep.,Democratic Republic of the Congo,86689.0,Ton,65.278491
2014-2015,S5,Petroleum: Crude,15003,Albania,Albania,82959.0,Ton,49.172285
2014-2015,S5,Petroleum: Crude,5059,Canada,Canada,82335.0,Ton,52.759147
2014-2015,S5,Petroleum: Crude,4231,Libya,Libya,66046.0,Ton,57.581254
2014-2015,S5,Petroleum: Crude,9313,Panama C Z,Panama C Z,59036.0,Ton,40.516732
